parent_comment_id,comment_id,comment_time,comment_user_name,comment_user_link,comment_content,comment_like_num,child_comment_num
,4795864314807684,Wed Jul 27 15:23:37 +0800 2022,小马狂奔005,https://weibo.com//u/6368319311,二舅是傻，是庸，或许他有他的智慧，但是完全不足以拿来成为某种激励，我想起翟山鹰那句话：国人大多被培养成了牲口！再看看二舅：我希望这个世上能少一些这样的二舅！,1,1
4795864314807684.0,4795865913630511,Wed Jul 27 15:29:59 +0800 2022,985精英哥,https://weibo.com//u/2507608374,没错,0,0
,4795804899084101,Wed Jul 27 11:27:32 +0800 2022,大湾区小邓山,https://weibo.com//u/7756378471,有些新闻就是转移矛盾的,1,1
4795804899084101.0,4795812988585172,Wed Jul 27 11:59:41 +0800 2022,985精英哥,https://weibo.com//u/2507608374,是,0,0
