parent_comment_id,comment_id,comment_time,comment_user_name,comment_user_link,comment_content,comment_like_num,child_comment_num
,4797823960744671,Tue Aug 02 01:10:34 +0800 2022,荣耀花粉2008,https://weibo.com//u/7753588574,网络该好好管管了,0,0
,4797739177872227,Mon Aug 01 19:33:40 +0800 2022,i猪喊你,https://weibo.com//u/6776903125,大白鲨哪来的呢？,0,0
,4797724225177769,Mon Aug 01 18:34:15 +0800 2022,孤独_Happy,https://weibo.com//u/2539295747,"<img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" /><img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" /><img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" /><img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" /><img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" /><img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" />",0,0
,4797672475329988,Mon Aug 01 15:08:37 +0800 2022,星期天一起玩,https://weibo.com//u/6366542431,严惩吧,0,0
,4797591692509888,Mon Aug 01 09:47:36 +0800 2022,戒不了烟瘾,https://weibo.com//u/7317484772,这是哪个网红,0,0
,4797568905909756,Mon Aug 01 08:17:04 +0800 2022,村里最没钱,https://weibo.com//u/6885781122,之前看了她的视频，没啥好的,0,1
4797568905909756.0,4797576266385400,Mon Aug 01 08:46:19 +0800 2022,搞机的风采,https://weibo.com//u/3788429711,是呀,3,0
,4797563385154322,Mon Aug 01 07:55:08 +0800 2022,呢202003,https://weibo.com//u/7413223603,得不偿失,0,0
,4797533139763752,Mon Aug 01 05:54:57 +0800 2022,青春必须有实力,https://weibo.com//u/7544459571,确实,0,1
4797533139763752.0,4797557652324415,Mon Aug 01 07:32:20 +0800 2022,搞机的风采,https://weibo.com//u/3788429711,嗯,4,0
