parent_comment_id,comment_id,comment_time,comment_user_name,comment_user_link,comment_content,comment_like_num,child_comment_num
,4797648219409226,Mon Aug 01 13:32:14 +0800 2022,娟-临天下,https://weibo.com//u/5060449242,服了你居然还替她说话，不仅吃大白鲨还吃娃娃鱼各种动物,7,0
,4797962150220561,Tue Aug 02 10:19:41 +0800 2022,丧one立刻有,https://weibo.com//u/5021847818,她还吃了金色娃娃鱼，她在视频还说了也知道这个颜色和物种很珍稀，但是她还是吃了。真的是太恶心了，明明就是知法犯法。,1,0
,4797988775397028,Tue Aug 02 12:05:29 +0800 2022,穿越了的寒武纪,https://weibo.com//u/5856803941,"有没有一种可能 她是随便路边找一个店家演出来是自己买的 但其实是自己的团队去捕杀的呢 她的每个视频去的店家都是同一个 而且不知情和知情处罚都是一样的 这个不是从轻从重的依据<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",0,1
4797988775397028.0,4797991179522177,Tue Aug 02 12:15:02 +0800 2022,断肠人在刷牙oO,https://weibo.com//u/5867500984,"自己团队去捕杀<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />那这个成本估计又要翻几番<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",0,0
,4797642632070258,Mon Aug 01 13:10:01 +0800 2022,旧南谈,https://weibo.com//u/5403877839,很明显了。事发前，她说是人工养殖，还说有正规渠道，说明知道野生的不能吃，但她不知道这个没有人工养殖的。事发后，她辩称是尖齿鲨，不是大白鲨。,11,1
4797642632070258.0,4797646240222710,Mon Aug 01 13:24:22 +0800 2022,断肠人在刷牙oO,https://weibo.com//u/5867500984,"这个就得等公安机关搜集证据了，有完整证据链证明她知情，就顶格处罚她<img alt=""[嘻嘻]"" title=""[嘻嘻]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/33/2018new_xixi_org.png"" />就算她不知情，也是违法的，反正这次咋都得进去呆着了<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />",0,0
,4797637712155563,Mon Aug 01 12:50:29 +0800 2022,会走的小可爱呀,https://weibo.com//u/6649698137,好像认不认识都不得行 我记得之前有个养鹦鹉买到保护动物自己不知情的 也算违法了,2,3
4797637712155563.0,4797639265094147,Mon Aug 01 12:56:39 +0800 2022,断肠人在刷牙oO,https://weibo.com//u/5867500984,"嗯嗯，她肯定也违法，我只是说如果不知情，主要责任在商家，她应该就不会顶格处罚<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />",0,0
4797637712155563.0,4797644402856326,Mon Aug 01 13:17:04 +0800 2022,断肠人在刷牙oO,https://weibo.com//u/5867500984,"回复<a href=/n/会走的小可爱呀>@会走的小可爱呀</a>:大眼经常抽抽<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />",0,0
4797637712155563.0,4797639712837703,Mon Aug 01 12:58:26 +0800 2022,会走的小可爱呀,https://weibo.com//u/6649698137,"回复<a href=/n/断肠人在刷牙oO>@断肠人在刷牙oO</a>:啊 为啥我这显示我的评论被大眼吞了我自己都看不到了但是你能回复<img alt=""[苦涩]"" title=""[苦涩]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/7e/2021_bitter_org.png"" />",0,0
