mid,publish_time,user_name,user_link,content,source,location_url,location_name,image_urls,weibo_link,forward_num,comment_num,like_num
4747572390921390,2022-03-16 09:08,泉泉的心,https://weibo.com/7406805925?refer_flag=1001030103_,#315 老坛酸菜##智能电视开机广告315再引关注##315晚会曝光翡翠直播骗局# 今年315晚会曝光了很多问题，我个人的看法也慢慢有了很多变化，从痛恨无良商家转而痛恨滋生无良商家的管理者土壤。天下熙熙皆为利来，天下攘攘皆为利往，商家都是逐利的，但管理者才是规则的守护者，一旦管理缺失，商家必会作妖。老坛酸菜里有个镜头很有意味，规规矩矩生产的是出口的，昧着良心生产的是给中国老百姓的！相关管理者情何以堪啊！ 收起d,小米10S,,,,https://weibo.com/7406805925/LjXzF3RH8?refer_flag=1001030103_,1,0,0
4747572319358914,2022-03-16 09:08,哈尔滨铁路,https://weibo.com/1957405325?refer_flag=1001030103_,#哈铁微分享# 【岳阳华容：#土坑酸菜食品被查封处理#】#土坑酸菜涉事企业被立案调查# 15日，“3·15”晚会报道涉及湖南省华容县插旗菜业、锦瑞食品有限公司两家酱腌菜生产企业存在进货货源部分为收购来的“土坑”酸菜问题。当晚21时，华容县领导带队，县市场监督管理局、公安局出动执法人员，到达华容县插旗菜业和锦瑞食品有限公司，认真排查整治，责令停产整顿，封存全部产品，启动立案调查。随后连夜召集县内30余家酱腌菜企业负责人召开整治大会，要求所有企业开展自查自纠，立行立改；宣布从即日起，对全县酱腌菜行业开展地毯式排查，对查出的问题顶格处理，决不姑息。（红网）#315晚会##315 老坛酸菜# 收起d,Android,,,https://wx1.sinaimg.cn/orj360/74aba28dgy1h0bg9f6g04j20j60sr0xr.jpg,https://weibo.com/1957405325/LjXzxDgGe?refer_flag=1001030103_,0,0,1
4747571946590096,2022-03-16 09:07,成都检察,https://weibo.com/3549848900?refer_flag=1001030103_,#市场监管部门连夜执法查处土坑酸菜#【315晚会曝光“土坑酸菜” 市场监管部门连夜执法查处：绝不姑息！】3月15日晚，央视3·15晚会曝光土坑腌制的老坛酸菜。湖南省市场监管局高度重视，作出紧急部署，当即派出两支执法队伍和食品专家团队分别奔赴事发地君山区、华容县进行督查执法。#315 老坛酸菜#   L海客新闻的微博视频 收起d,微博视频号,,,,https://weibo.com/3549848900/LjXyWrEnS?refer_flag=1001030103_,0,0,0
4747571883413163,2022-03-16 09:06,中新经纬,https://weibo.com/5993531560?refer_flag=1001030103_,#统一再发声明称未使用土坑酸菜#【塌房了！#康师傅确认插旗菜业是供应商#】3月15日，央视315晚会曝光部分老坛酸菜包竟是土坑腌制。15日深夜，康师傅发布声明称#康师傅已取消与插旗菜业合作#，并承认其存在管理失误，深表歉意并将引以为戒。同日，#统一致歉#并发声明称，自2012年涉事公司已不再是该公司酸菜包原料供应商。16日再发声明称未使用土坑酸菜。#315 老坛酸菜##起底插旗菜业# L中新经纬的微博视频 收起d,微博视频号,,,,https://weibo.com/5993531560/LjXyQejV1?refer_flag=1001030103_,550,1306,9730
4747571736876366,2022-03-16 09:06,小浪烟台频道,https://weibo.com/7707400345?refer_flag=1001030103_,#土坑酸菜企业被连夜调查#【#315晚会#曝光“土坑酸菜” 市场监管部门连夜执法查处：绝不姑息！】3月15日晚，央视3·15晚会曝光土坑腌制的老坛酸菜。湖南省市场监管局高度重视，作出紧急部署，当即派出两支执法队伍和食品专家团队分别奔赴事发地君山区、华容县进行督查执法。#315 老坛酸菜# L海客新闻的微博视频 收起d,微博视频号,,,,https://weibo.com/7707400345/LjXyBsQR8?refer_flag=1001030103_,0,0,1
4747571652725446,2022-03-16 09:05,北京头条,https://weibo.com/1644948230?refer_flag=1001030103_,【#北京各大超市连夜下架老坛酸菜方便面#】紫色包装的老坛酸菜口味方便面将淡出消费者视线，在央视315晚会上曝光的“土坑”酸菜涉及康师傅、统一方便面品牌，3月16日早上8点，北京青年报记者实地走访物美、首航超市看到，这款口味的方便面已经从货架上消失，同时咸菜货架上也少了多种酸菜商品。#各大超市连夜下架老坛酸菜方便面# 今天一早，物美大卖场泰河园店的方便面货架上已经难觅老坛酸菜口味方便面，空置的货架上只剩袋装、桶装老坛酸菜口味的标签。在货架顶部，北青报记者看见堆放着成箱的统一老坛酸菜口味的紫色方便面踪迹。在首航超市鹿海苑店，原来摆放老坛酸菜口味的方便面货架上也被空置着，一位首航超市工作人员正在仔细核对酱菜类商品的价签，该店货架上老坛酸菜鱼调料也被下架。同时，每日优鲜、多点、盒马app上都已经找不到“老坛酸菜”相关方便面商品。#315 老坛酸菜# 据悉，315晚会曝光了在湖南插旗菜业有限公司、锦瑞食品有限公司、坛坛俏、岳阳市雅园酱菜共4家品牌腌制的酸菜存在食品安全问题。酸菜在土坑里制作，并被农户用脚踩来踩去，腌制过程中还难免会有烟头、树叶等杂质。昨晚，统一、康师傅分别发布致歉声明，封存“土坑”酸菜，并表示将配合政府监管部门对相关企业和产品的调查和检测。据悉，消息一出，各大商超线上线下连夜下架康师傅、统一老坛酸菜口味方便面，部分商家也下架了酸菜鱼调料。沃尔玛方面今早告诉北青报记者，已关注到央视315晚会曝光的酸菜问题。沃尔玛始终关注顾客的安全和健康，本着对顾客负责的态度，已暂时下架所有酸菜及含有酸菜的商品，并将对相关商品及供应商再次进行严格的审核，确保为顾客提供安全、放心的商品。#统一致歉#(文/北京青年报记者 李佳 摄影/北京青年报记者 付丁) 收起d,微博 weibo.com,,,https://wx1.sinaimg.cn/thumb150/001Nk2b4ly1h0bg6h9wy5j61410u0dnq02.jpg https://wx4.sinaimg.cn/thumb150/001Nk2b4ly1h0bg6j3pksj61410u0qec02.jpg https://wx1.sinaimg.cn/thumb150/001Nk2b4ly1h0bg6kay3lj61410u0dqf02.jpg,https://weibo.com/1644948230/LjXytbr0O?refer_flag=1001030103_,37,135,1241
4747571526371182,2022-03-16 09:05,鄂尔多斯晚报,https://weibo.com/2416967903?refer_flag=1001030103_,#统一致歉##统一回应酸菜包原料问题#【#统一致歉并发声明回应#：自2012年底与湖南插旗不再合作】关于央视“3.15”晚会报道的湖南插旗公司与锦瑞公司生产的酸菜原料生产环境的问题，统一（中国）投资有限公司当晚在官网发布声明回应称，公司高度重视，已于3月15日当天在长沙市市场监督管理局的现场排查下，对采用的酸菜包原料及相关留档记录进行了彻底检查统一发布声明表示，湖南插旗公司自2012年12月开始，已不再是该公司酸菜包原料的供应商，同时，统一已于第一时间约谈了湖南锦瑞公司的负责人，对相关的酸菜包产品已全部进行了封存，并在市场监管局的参与下一起进行质量检测。 #315 老坛酸菜##老坛酸菜包竟是土坑腌制# 收起d,iPhone客户端,,,,https://weibo.com/2416967903/LjXygqJr0?refer_flag=1001030103_,0,0,2
4747571119001835,2022-03-16 09:03,新浪新闻,https://weibo.com/2028810631?refer_flag=1001030103_,#土坑酸菜企业被连夜调查#【#315晚会#曝光“土坑酸菜” 市场监管部门连夜执法查处：绝不姑息！】3月15日晚，央视3·15晚会曝光土坑腌制的老坛酸菜。湖南省市场监管局高度重视，作出紧急部署，当即派出两支执法队伍和食品专家团队分别奔赴事发地君山区、华容县进行督查执法。#315 老坛酸菜# @海客新闻 L海客新闻的微博视频 收起d,微博视频号,,,,https://weibo.com/2028810631/LjXxBBLMT?refer_flag=1001030103_,46,122,383
4747570787651986,2022-03-16 09:02,新浪财经,https://weibo.com/1638782947?refer_flag=1001030103_,#五谷渔粉是插旗菜业合作伙伴#【湖南“土坑酸菜”被曝随意用脚踩！康师傅、#五谷渔粉#都是合作伙伴】你吃的方便面里的老坛酸菜料包，可能是工人用脚踩出来的？今年央视#315晚会#上曝光了湖南插旗菜业的“土坑酸菜” 。记者在插旗菜业官网合作伙伴一栏中看到，康师傅、@五谷渔粉V 等企业均是其合作伙伴↓↓ O湖南“土坑酸菜”被曝随意用脚踩！康师傅、五谷渔粉都是合作伙伴 #315曝光台# #康师傅确认插旗菜业是供应商# #315 老坛酸菜# 收起d,微博 weibo.com,,,,https://weibo.com/1638782947/LjXx4w6D8?refer_flag=1001030103_,219,406,6543
4747568216539878,2022-03-16 08:52,悠柚yo,https://weibo.com/6985586640?refer_flag=1001030103_,#315 老坛酸菜#希望以后食品安全方面的问题，能在查清后第一时间公布给大众吧。这食品安全也不适用于税务部门推行的五步工作法啊，是也需要走完提示提醒-督促整改-约谈警示-立案稽查-公开曝光这五步才公布嘛，越想越膈应。或许我真是一只猪，生活在暗无天日的猪圈里，终有一天会把吃猪食当作莫大的幸福吧。 收起d,iPhone客户端,,,,https://weibo.com/6985586640/LjXsVrrjU?refer_flag=1001030103_,0,0,0
